id,buyer_id,created_at,updated_at,seller_id
52365fad-a693-46d6-b008-617bc38fa698,306c7f3a-107a-47a6-b1a8-222fe4c45eae,2026-05-01 08:46:52.903547+00,2026-05-01 08:46:52.903547+00,
74078e32-048a-4114-b922-6413df6e493d,a7032d5d-af2b-4e1e-9227-207bc4c9ee29,2026-06-07 10:19:58.846921+00,2026-06-07 10:19:58.846921+00,
7ec48acb-bf32-492a-9811-267769875bc3,304114ce-2c31-4f58-9593-2164492079f1,2026-05-08 19:14:20.145505+00,2026-05-08 19:14:20.145505+00,
8601e4d6-9887-48c9-b1e5-276c4a2950ba,4d0d4614-52d5-4912-8a8f-179c233aec1c,2026-05-19 07:23:27.388164+00,2026-05-19 07:23:27.388164+00,
8b3bb8be-57bc-41d3-8061-babc78a818b6,511676f0-ab7c-491b-aa79-b7268cfd6782,2026-06-01 14:15:18.570636+00,2026-06-01 14:15:18.570636+00,
b006f688-1841-47c2-878a-0793bd3b4455,ffafbbe4-7132-4d99-9daa-2c1bd8c25072,2026-06-18 11:57:01.767384+00,2026-06-18 11:57:01.767384+00,
cf082cb9-9da4-4866-9d87-f1e87f2e925b,48baad54-4000-4b6f-85ec-761631c82ac9,2026-06-06 02:24:51.353961+00,2026-06-06 02:24:51.353961+00,
e0bb9d3c-6641-4ecd-a27f-bd68661ae14e,0ceb3887-86d4-4cfc-abd4-1709a3bbde21,2026-05-27 15:27:13.428995+00,2026-05-27 15:27:13.428995+00,
ef352e28-3b65-42c7-82f0-8ddca2df371d,ed45f081-840f-4fc9-9e5b-b70ce6a3c7b8,2026-06-03 18:36:58.551633+00,2026-06-03 18:36:58.551633+00,
f5597449-16b5-47c9-8538-62f8a8cc2380,88f3e731-3c4f-4a4e-bd3f-8b5e04d17a2f,2026-06-22 18:50:25.988558+00,2026-06-22 18:50:25.988558+00,
