id,name,description,price,images,video_url,category,section,weight,stock,customisable,custom_questions,features,delivery_time_min,delivery_time_max,delivery_time_unit,instant_delivery,seller_id,status,approved_at,rejected_at,rejection_reason,approved_by,rejected_by,created_at,updated_at,exchange_available,mrp,material,care_instructions,size_options,return_available,return_days,cod_available,legal_disclaimer,two_way_delivery,size_price_options,color_options,size_charts,categories,sections,archived
088dc348-8484-4af7-93f1-861a65775e51,Artisan Chocolate Gift Box,Premium handcrafted chocolates made with organic ingredients. Perfect for gifting on special occasions. Each piece is carefully crafted by our expert chocolatiers using traditional methods.,98.99,"[""https://res.cloudinary.com/dr5jhntkh/image/upload/v1777711065/products/xeln9js3nj1zychvbzuw.webp""]",,Sweets,handmade,500.00,15,true,"[{""question"":""Any dietary restrictions?"",""required"":false},{""question"":""Message for the card?"",""required"":true}]","[""Sugar-free option available"",""Organic cocoa beans"",""Handmade with love"",""Beautiful gift packaging included""]",2,5,days,false,f179477b-2cf4-44f5-aaaf-864a1c6b4327,approved,,,,,,2026-05-02 08:37:46.716215+00,2026-05-29 13:36:45.880406+00,false,158.99,Premium milk chocolate with organic ingredients,"Store in a cool, dry place away from sunlight. Best consumed within 30 days of opening.","[""Pack""]",false,0,true,Actual product packaging may contain more information. Please read labels carefully before consuming.,true,[],[],[],"[""Sweets""]","[""handmade""]",true
0af221a1-389a-487f-8e14-7d5f3305169e,Secret Garden Tiara- Mangtikka,"Design: A layered flower pendant with bright pink outer petals and mint-green inner petals.
Accents: Gold-trimmed edges with yellow stamens in the center.Hanging Details: Dangling yellow beads and teardrop-shaped green leaves at the bottom.
Chain: A delicate string of small white pearls . Perfect For:

Bridal Haldi

Mehendi

Sangeet

Reception (pastels or fusion weddings)

Pre-Wedding Photoshoot

Bridesmaids & Sister-of-Bride Gifts",499.00,"[""https://umnizxayjwnknetaspxg.supabase.co/storage/v1/object/public/uploads/products/1780215732827-rr13pj.jpg"",""https://umnizxayjwnknetaspxg.supabase.co/storage/v1/object/public/uploads/products/1780215815835-bjddb.jpg"",""https://umnizxayjwnknetaspxg.supabase.co/storage/v1/object/public/uploads/products/1780215853691-sir9t.png"",""https://umnizxayjwnknetaspxg.supabase.co/storage/v1/object/public/uploads/products/1780215888972-btvw4c.jpg""]",,Jewelry,Mangtikka,8.00,999999,true,,"[""Lightweight""]",6,8,days,false,5752294a-cf18-46cd-86eb-465ffcbe7bd0,approved,,,,,,2026-05-31 08:27:18.372926+00,2026-05-31 08:27:18.372926+00,false,699.00,"Resin, copper ,resin pigment",Stay away from perfume.,,false,7,false,,false,[],[],[],"[""Jewelry"",""Resin Art"",""For Her""]","[""Mangtikka""]",false
0dcabec8-a6f2-4d56-9a41-94e00e7f3b9d,flower candle Box,Premium handcrafted candlesmade with organic ingredients. Perfect for gifting on special occasions. Each piece is carefully crafted by our expert chocolatiers using traditional methods.,348.99,"[""https://res.cloudinary.com/dr5jhntkh/image/upload/v1777625484/products/oa3plrvgdtp0tb6yeny0.png"",""https://res.cloudinary.com/dr5jhntkh/image/upload/v1777625488/products/rqclr9wspzobe0kimasr.png""]",,Candles,handmade,500.00,25,true,"[{""question"":""Any dietary restrictions?"",""required"":false},{""question"":""Message for the card?"",""required"":true}]","[""Sugar-free option available"",""Organic cocoa beans"",""Handmade with love"",""Beautiful gift packaging included""]",2,5,days,false,f179477b-2cf4-44f5-aaaf-864a1c6b4327,approved,,,,,,2026-05-01 08:51:29.203802+00,2026-06-04 13:51:03.559942+00,true,499.00,Premium milk candle with organic ingredients,"Store in a cool, dry place away from sunlight. Best consumed within 30 days of opening.","[""Pack""]",false,4,true,Actual product packaging may contain more information. Please read labels carefully before consuming.,false,[],[],[],"[""Candles""]","[""handmade""]",true
0f20c9e2-bea8-4e11-a92f-9f2fc8aa16a0,Sunflower Themed Gift Hampers for Her,"Sunflower Themed Gift hampers for Her with personalised message
Sunflower Pot
Sunflower Sling Bag
Wish Card
Chocolate",1500.00,"[""https://umnizxayjwnknetaspxg.supabase.co/storage/v1/object/public/uploads/products/1780816803520-mpe73r.png"",""https://umnizxayjwnknetaspxg.supabase.co/storage/v1/object/public/uploads/products/1780817001919-movwe8.png""]",,Crochet,Gift Hampers,500.00,999999,true,"[{""question"":""Whatmessagewouldyoulikeoncards"",""required"":true,""answerType"":""text""}]",,3,8,days,false,e84d8c53-7239-4420-bc50-487a4dcf6e0c,approved,,,,,,2026-06-07 07:22:08.487754+00,2026-06-18 07:32:09.123629+00,true,1700.00,,,[],true,7,true,,false,[],[],[],"[""Crochet"",""For Her"",""Personalized Gifts"",""Gift Hampers""]","[""Gift Hampers""]",true
12e8054f-329b-4dbd-8905-2132ec49876c,Trina spiral ring,"vibrant mix of flowers around your finger and detailed leaves, this ring will remind you of spring and all things colorful.",1600.00,"[""https://res.cloudinary.com/dr5jhntkh/image/upload/v1778651863/products/se2za96lknefufudlqhb.png"",""https://umnizxayjwnknetaspxg.supabase.co/storage/v1/object/public/uploads/products/1778655818571-4ayknt.jpg"",""https://umnizxayjwnknetaspxg.supabase.co/storage/v1/object/public/uploads/products/1779777054330-bszv1n.jpg"",""https://umnizxayjwnknetaspxg.supabase.co/storage/v1/object/public/uploads/products/1779777060345-e1imn.jpg"",""https://umnizxayjwnknetaspxg.supabase.co/storage/v1/object/public/uploads/products/1779777066963-lful2k.jpg""]",,Jewelry,Spiral ring,7.00,5,true,"[{""question"":""Send some pictures of product that like you want"",""required"":true,""answerType"":""photo""}]","[""Ultra light weight""]",6,6,days,false,5752294a-cf18-46cd-86eb-465ffcbe7bd0,approved,,,,,,2026-05-13 05:57:44.168889+00,2026-05-26 06:31:21.737173+00,false,2000.00,"Resin, copper , resin pigment",Stay away from perfume,[],false,7,false,,false,[],"[{""name"":""gold"",""image"":""""}]",[],"[""Jewelry"",""Resin Art""]","[""Spiral ring""]",false
14326a70-d982-4ccf-be45-0c78d75e5c4d,Ultimate wolverine mask,3D-Printed high quality Ultimate wolverine mask,3999.00,"[""https://umnizxayjwnknetaspxg.supabase.co/storage/v1/object/public/uploads/products/1781354276663-9x162h.jpeg"",""https://umnizxayjwnknetaspxg.supabase.co/storage/v1/object/public/uploads/products/1781354279971-6d3mme.jpeg""]",,For Him,Trending,900.00,1,true,"[{""question"":""custom size requirement"",""required"":false,""answerType"":""text""}]",,6,10,days,false,f812ae81-e5ef-4a44-aaf6-5a84560fe8b3,approved,,,,,,2026-06-13 12:28:39.382559+00,2026-06-13 12:38:12.22672+00,false,6599.00,Hard Plastic (similar material used for making bike helmets),,"[""S"",""M"",""L"",""XL""]",false,2,false,Actual product packaging will contain only the Ultimate wolverine mask,false,"[{""label"":""S"",""price"":3999},{""label"":""M"",""price"":3999},{""label"":""L"",""price"":3999},{""label"":""XL"",""price"":3999}]",[],[],"[""For Him"",""Personalized Gifts""]","[""Trending"",""Best Sellers""]",false
17c7abf1-8e94-4f2d-8b63-6f3e1d09d154,Kunchi Ocean,"✨ Luxury 100% Pure Cotton Kunchi✨ Handcrafted with Premium fabrics, soft textures, and delicate detailing — designed to bring a timeless, elegant touch to Montessori spaces, kids’ rooms, hampers, and décor. Each piece is uniquely handmade with love and carefully selected prints.",250.00,"[""https://umnizxayjwnknetaspxg.supabase.co/storage/v1/object/public/uploads/products/1778776136854-6ootqi.png""]",,For Kids,Featured,150.00,1,false,,,2,5,days,false,fff5f635-e8fa-4a64-a04d-dfe679dce05d,approved,,,,,,2026-05-14 16:28:03.757816+00,2026-05-14 16:29:07.431724+00,false,300.00,,,[],false,7,true,,false,[],[],[],"[""For Kids"",""Other""]","[""Featured""]",false
1b4b5fa6-dbe5-418d-96e2-22986921a223,Rose Devotion Luxury Candle,"A romantic fragrance inspired by devotion, softness, and timeless elegance. Rose Devotion opens with velvety rose petals, unfolds into warm sandalwood, and settles into a delicate veil of incense. Both comforting and captivating, it creates an atmosphere of intimacy, warmth, and quiet luxury. Hand-poured in small batches using 100% natural, eco-friendly soy wax. Fragrance Notes: Top: Incense, Heart: Sandalwood, Base: Rose, Materials: 100% Eco-Friendly Natural Soy Wax Blend • Premium Fragrance Oils • Stearic Acid • Approved Colorants •",535.00,"[""https://umnizxayjwnknetaspxg.supabase.co/storage/v1/object/public/uploads/products/1780067825139-v432lg.png"",""https://umnizxayjwnknetaspxg.supabase.co/storage/v1/object/public/uploads/products/1780067829843-epvnbv.png""]",,Candles,Launch Candles Collection,80.00,999999,false,[],"[""Lead-free cotton wick, eco-friendly soy wax, Premium fragrance oils""]",2,7,days,false,0e276292-a59e-4d85-9340-635a7a96540e,approved,,,,,,2026-05-29 15:18:15.972287+00,2026-06-07 14:15:18.2837+00,false,599.00,Natural Soy wax; Cotton and Lead free wick,"Trim wick to 5 mm before each burn.
Allow wax to melt evenly across the surface.
Do not burn for more than 4 hours at a time.
Never leave a burning candle unattended.","[""80g""]",false,7,true,"Due to the handcrafted nature of our candles, slight variations in color, texture, and appearance may occur. These variations do not affect product performance or quality.",false,"[{""label"":""80g"",""price"":535}]","[{""name"":""Pink"",""image"":""""}]",[],"[""Candles"",""Gift Hampers""]","[""Launch Candles Collection""]",true
231ab515-b5c9-4354-be9a-ce35a6a6902b,Couple photo Resin keychain,"A couple photo and elements like pearls ,golden crystals and golden dust.",350.00,"[""https://umnizxayjwnknetaspxg.supabase.co/storage/v1/object/public/uploads/products/1779800845351-9grhva.jpeg""]",,Resin Art,DIY Couple Gifts,80.00,1,true,"[{""question"":""Photos should be sent by document"",""required"":false,""answerType"":""text""}]",,4,6,days,false,c3b6aef6-88f0-4dbc-8654-a25a748eddfa,approved,,,,,,2026-05-26 13:17:35.73734+00,2026-06-06 05:46:18.549155+00,false,350.00,,,,false,7,false,,false,[],[],[],"[""Resin Art"",""For Her"",""Personalized Gifts""]","[""DIY Couple Gifts""]",false
247e6014-e79e-452d-b8e2-16d89c3d2be0,Kanzashi flower pink purple metalic hair pin( pack of 4).,"These handmade floral hair pins are designed to add a delicate, romantic touch to special occasion hairstyles.Craftsmanship: Made using wire-wrapping and dip resin techniques to create translucent, glass-like flower petals. Aesthetics: Features gradient shades of vibrant pink and soft white with gold-toned wire borders and shimmering rhinestone stamen centers. Design: Mounted on flexible, dual-prong gold u-pins that slide easily into buns, updos, or braided hairstyles. Versatility: Perfect for bridal wear, weddings, festivals. Colours:metalic pink-purple touch",749.00,"[""https://umnizxayjwnknetaspxg.supabase.co/storage/v1/object/public/uploads/products/1778906599836-e09fih.jpg"",""https://umnizxayjwnknetaspxg.supabase.co/storage/v1/object/public/uploads/products/1778906769552-7hw75j.webp"",""https://umnizxayjwnknetaspxg.supabase.co/storage/v1/object/public/uploads/products/1778906914735-hr6kpg.jpg""]",,Resin Art,Hair Accessories,7.00,4,true,"[{""question"":""Name the colour which you want for flowers ."",""required"":true,""answerType"":""text""}]","[""Ultra Light weight""]",6,6,days,false,5752294a-cf18-46cd-86eb-465ffcbe7bd0,approved,,,,,,2026-05-16 05:06:03.387891+00,2026-05-17 10:06:08.865411+00,false,1200.00,"Resin, copper,resin pigment",Stay away from perfume & zipper bag.,[],false,0,true,,false,[],[],[],"[""Resin Art"",""Jewelry""]","[""Hair Accessories""]",false
