id,seller_id,available_balance,pending_balance,total_earned,total_withdrawn,last_withdrawal_at,created_at,updated_at
02ac2698-df21-4131-a437-ccd47ded6607,37c07e6f-d508-45e1-bc11-bc9495f032a9,0.00,0.00,0.00,0.00,,2026-05-18 06:17:58.762814+00,2026-05-23 07:18:17.324919+00
383dcdd2-4325-4789-a681-8311623d64fa,e84d8c53-7239-4420-bc50-487a4dcf6e0c,0.00,0.00,0.00,0.00,,2026-05-17 16:37:49.575194+00,2026-06-08 10:34:55.890114+00
6ae7c663-f778-46aa-b103-31083b5fa092,b1ec8c9d-796a-4c90-a749-dfb9e27d194d,0.00,0.00,0.00,0.00,,2026-05-18 16:15:55.628344+00,2026-06-02 09:38:00.425566+00
7333d8a4-51ef-409d-951d-fe18ea64e95d,5234e5c0-7798-4696-83d7-59ef0bb3dc0a,0.00,0.00,0.00,0.00,,2026-06-11 06:26:58.28589+00,2026-06-15 04:39:58.192569+00
7a8c83a2-4532-4e50-89b1-d5d5e9e03123,c3b6aef6-88f0-4dbc-8654-a25a748eddfa,0.00,0.00,0.00,0.00,,2026-05-26 07:24:11.918663+00,2026-06-08 12:46:24.545314+00
81cf353a-d8cb-45ed-839b-fcde700a23c8,5752294a-cf18-46cd-86eb-465ffcbe7bd0,0.00,0.00,0.00,0.00,,2026-05-06 10:45:38.633716+00,2026-06-02 20:28:30.542715+00
83a607aa-41ea-4f14-bf04-bd0917eac384,fe7b86a1-d778-405b-b21a-db4838d228b2,0.00,0.00,0.00,0.00,,2026-06-13 08:35:56.170464+00,2026-06-13 08:59:03.53447+00
8a5b0d45-d9db-438e-9cae-385013c9960c,3226b96c-1e63-4198-aee8-55e4cd1fcf11,0.00,0.00,0.00,0.00,,2026-05-05 14:45:14.989565+00,2026-06-04 05:32:14.73511+00
9547971c-15fb-48e7-bb6d-feb1da27aeb1,fff5f635-e8fa-4a64-a04d-dfe679dce05d,0.00,0.00,0.00,0.00,,2026-05-11 17:57:42.9969+00,2026-05-18 06:39:24.423411+00
ad522d7f-70e6-46ae-a72c-258bf0d16199,0e276292-a59e-4d85-9340-635a7a96540e,0.00,0.00,0.00,0.00,,2026-05-26 16:07:05.615441+00,2026-06-07 14:23:05.045164+00
b85fb29c-474b-4c40-b833-859cc67b4aaa,f812ae81-e5ef-4a44-aaf6-5a84560fe8b3,19.03,389.02,7019.03,7000.00,2026-06-06 14:39:56.220814+00,2026-05-11 15:59:24.150578+00,2026-06-26 08:36:50.411181+00
c4d55ace-c725-40d5-b45f-ad443c08162e,f179477b-2cf4-44f5-aaaf-864a1c6b4327,2.03,2525.22,194.03,192.00,2026-05-30 15:00:48.574349+00,2026-05-01 08:21:45.63069+00,2026-06-26 06:01:11.835558+00
d3c8ce9b-a0ae-4acc-a6fb-ab86b6ea4fac,7e5132ca-3523-4ca7-8ae8-3c29f7ce9152,0.00,0.00,0.00,0.00,,2026-05-04 11:20:43.247761+00,2026-06-02 19:35:37.18859+00
faab046a-b66b-4a6b-936a-f8c626b6c082,6e1dffbb-b5b5-46ec-8387-87b443678eab,0.00,0.00,0.00,0.00,,2026-06-21 05:58:10.708848+00,2026-06-21 05:59:58.38264+00
